,PC1,PC2,PC3,PC4,PC5,PC6
gfa_sqm,0.015415898,0.00020448737,0.001946004,0.03680438,-0.24568619,0.06250744
site_area_sqm,0.0087607335,-0.0098148305,0.007990223,0.033484805,-0.059899718,0.0015770207
building_height_m,0.016526237,-0.00093979615,-0.0018725859,0.035425965,-0.14607984,0.06869295
gpr,0.011355269,0.06702734,-0.035042524,0.05328134,-0.20672305,0.028462593
gpr_utilization,0.020069983,0.0030537029,-0.015888188,0.009383927,-0.1804345,0.054893326
is_jtc_land,-0.028042328,-0.07583418,0.04625355,0.015825331,0.24274175,0.031639867
is_private_land,0.0018174942,-0.07746866,0.031398486,-0.011597309,0.35268465,0.036347747
has_physical_data,-0.028752869,-0.05888098,0.0242196,0.03208335,0.30141565,0.097153656
zone_Agriculture,0.0053414097,-0.012567035,0.007612643,-0.007340729,-0.010235549,-0.013173561
zone_BUSINESS 1,-0.010105456,0.0037451384,-0.0022298852,0.00751098,-0.0647875,0.012340472
zone_BUSINESS 2,-0.020093337,0.006685587,-0.0037687994,0.01035044,-0.10139174,0.016357474
zone_BUSINESS 2 - WHITE,-0.00361766,0.0015455012,-0.0011005299,0.0025000845,-0.027756123,0.0045647803
zone_BUSINESS PARK,-0.010316884,0.004249275,-0.0010296913,0.024170289,-0.11698925,0.030726245
zone_BUSINESS PARK - WHITE,-0.0051149228,0.0025517677,-0.0010244865,0.013215062,-0.06907402,0.017277775
zone_Business 1,0.013352579,0.042270552,-0.025423225,0.00909583,-0.04614224,0.030102175
zone_Business 1 - White,0.0052618803,0.017655512,-0.038865853,0.010572914,-0.04881957,0.0058751297
zone_Business 2,-0.025914494,-0.098488234,0.056650467,-0.001763602,0.3677171,-0.0003483035
zone_Business 2 - White,0.0011624739,0.0073158457,-0.026892407,0.00947372,-0.013931013,0.0016990433
zone_Business Park,0.0016699482,-0.0006581435,-0.004129905,0.025820948,-0.07965592,0.056497507
zone_Business Park - White,-0.0051000826,0.0006595141,-0.00041661307,0.00056783564,-0.014038424,0.00938031
zone_CIVIC & COMMUNITY INSTITUTION,-0.0020730714,0.0011383474,-0.0005363438,0.0049793683,-0.028668141,0.0056428043
zone_COMMERCIAL,-0.004657833,0.00219689,-0.001577747,0.004038923,-0.04183788,0.0062325494
zone_COMMERCIAL & RESIDENTIAL,-0.0020671233,0.001197101,-0.0012361648,-0.00020823903,-0.016904801,0.0007990884
zone_Civic & Community Institution,0.011756299,0.018486558,0.011440829,-0.004862794,-0.028220503,0.06132659
zone_Commercial,0.0092639215,0.010619229,-0.03604943,-0.0013060865,0.014477606,-0.0870248
zone_Commercial & Residential,0.008297553,0.034237906,-0.04268342,0.004627818,0.05077766,0.05778548
zone_Commercial / Institution,0.0060445326,0.0052697496,-0.019284746,-0.004263644,0.0077715754,-0.016905157
zone_Educational Institution,0.008294989,0.00657874,-0.013628623,0.0046798564,-0.032461483,-0.016620893
zone_HOTEL,-0.00210545,0.0010056132,-0.00023475358,0.006522162,-0.02626345,0.007628065
