postal_code,building_name,street_address,planning_area,zoning,gfa_sqm,latitude,longitude,has_physical,has_location,has_amenity,matrix_count
560123,123 ANG MO KIO AVENUE 6,123 ANG MO KIO AVENUE 6,ANG MO KIO,Residential,438.93,1.37048118793194,103.844805800791,True,True,True,3
561152,152A ANG MO KIO AVENUE 5,152A ANG MO KIO AVENUE 5,ANG MO KIO,Residential,132394.7,1.37634218416684,103.840158984505,True,True,True,3
569058,2 ANG MO KIO STREET 65,2 ANG MO KIO STREET 65,ANG MO KIO,Business 1,8038.29,1.388229119586376,103.8491042502033,True,True,False,2
569060,12 ANG MO KIO STREET 65,12 ANG MO KIO STREET 65,ANG MO KIO,Business 1,,1.39043210600242,103.849377997833,True,True,True,3
569085,ANG MO KIO STREET 64,ANG MO KIO STREET 64,ANG MO KIO,,,1.38726754392004,103.848441424807,False,True,True,2
569088,UE BIZHUB CENTRAL,12 ANG MO KIO STREET 64,ANG MO KIO,Business 1,46771.15,1.3903718337428,103.846497169849,True,True,True,3
569110,1 ANG MO KIO STREET 63,1 ANG MO KIO STREET 63,ANG MO KIO,Business 2,,1.38463033245977,103.847648280533,True,True,True,3
569111,2 ANG MO KIO STREET 63,2 ANG MO KIO STREET 63,ANG MO KIO,Business 2,36070.94,1.384942689312569,103.8488029993445,True,True,False,2
569115,10 ANG MO KIO STREET 63,10 ANG MO KIO STREET 63,ANG MO KIO,Business 2,,1.385855222504861,103.848670309571,True,True,False,2
569116,14 ANG MO KIO STREET 63,14 ANG MO KIO STREET 63,ANG MO KIO,Business 2,,1.386263288066772,103.848953897794,True,True,False,2
569139,LINK@AMK,3 ANG MO KIO STREET 62,ANG MO KIO,Business 1,69880.55,1.386450032284533,103.8447885185741,True,True,True,3
569141,NCS HUB,5 ANG MO KIO STREET 62,ANG MO KIO,Business 1,46432.27,1.387891288779316,103.8440380543743,True,True,True,3
569619,438 ANG MO KIO INDUSTRIAL PARK 1,438 ANG MO KIO INDUSTRIAL PARK 1,ANG MO KIO,Business 1,,1.359667670874539,103.8556917980788,True,True,True,3
